3900,{1},10,252871,3,13,126835.5
3920,{1},10,254176,3,13,127488.0
3940,{1},10,258871,3,13,129835.5
3960,{1},10,263351,3,13,132075.5
3980,{1},10,264426,3,13,132613.0
4000,{1},10,268966,3,13,134883.0
4020,{1},10,271926,3,13,136363.0
4040,{1},10,276086,3,13,138443.0
4060,{1},10,276791,4,13,138885.5
4080,{1},10,280506,4,13,140743.0
4100,{1},10,283856,4,13,142418.0
4120,{1},10,287676,4,13,144328.0
4140,{1},10,290756,4,13,145868.0
4160,{1},10,294646,4,13,147813.0
4180,{1},10,297911,4,13,149445.5
4200,{1},10,301036,4,13,151008.0
4220,{1},10,304666,4,13,152823.0
4240,{1},10,308141,4,13,154560.5
4260,{1},10,312126,4,13,156553.0
4280,{1},10,315346,4,13,158163.0
4300,{1},10,318361,4,13,159670.5
4320,{1},10,321056,4,13,161018.0
4340,{1},10,323926,4,13,162453.0
4360,{1},10,327676,4,13,164328.0
4380,{1},10,331256,4,13,166118.0
4400,{1},10,334386,4,14,167693.0
4420,{1},10,337561,4,14,169280.5
4440,{1},10,340711,4,14,170855.5
4460,{1},10,344646,4,14,172823.0
4480,{1},10,348191,4,15,174605.5
4500,{1},10,350996,4,15,176008.0
4520,{1},10,353611,4,15,177315.5
4540,{1},10,356656,4,15,178838.0
4560,{1},10,360151,4,15,180585.5
4580,{1},10,362911,4,15,181965.5
4600,{1},10,366261,4,15,183640.5
4620,{1},10,369666,4,15,185343.0
4640,{1},10,372896,4,15,186958.0
4660,{1},10,376241,4,15,188630.5
4680,{1},10,379321,4,15,190170.5
4700,{1},10,382611,4,15,191815.5
4720,{1},10,386361,4,16,193700.5
4740,{1},10,390711,4,16,195875.5
4760,{1},10,394631,4,16,197835.5
